STATE,DISTRICT,YEAR,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
BIHAR,BETTIAH,2001,20,23,17,23,0,54,8,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,77,42_District_wise_crimes_committed_against_women_2001_2012.csv::77,False,UNIQUE,BETTIAH,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,BHABHUA,2001,10,12,8,7,0,22,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,78,42_District_wise_crimes_committed_against_women_2001_2012.csv::78,False,UNIQUE,BHABHUA,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,BHAGALPUR,2001,35,9,20,15,0,52,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,79,42_District_wise_crimes_committed_against_women_2001_2012.csv::79,False,UNIQUE,BHAGALPUR,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,BHOJPUR,2001,22,13,23,0,4,29,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,80,42_District_wise_crimes_committed_against_women_2001_2012.csv::80,False,UNIQUE,BHOJPUR,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,BUXAR,2001,8,1,15,0,0,0,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,81,42_District_wise_crimes_committed_against_women_2001_2012.csv::81,False,UNIQUE,BUXAR,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,DARBHANGA,2001,19,16,37,40,0,34,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,82,42_District_wise_crimes_committed_against_women_2001_2012.csv::82,False,UNIQUE,DARBHANGA,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,GAYA,2001,25,15,26,27,0,24,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,83,42_District_wise_crimes_committed_against_women_2001_2012.csv::83,False,UNIQUE,GAYA,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,GOPALGANJ,2001,13,18,22,0,2,155,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,84,42_District_wise_crimes_committed_against_women_2001_2012.csv::84,False,UNIQUE,GOPALGANJ,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,JAMALPUR RLY.,2001,1,0,0,1,0,1,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,85,42_District_wise_crimes_committed_against_women_2001_2012.csv::85,False,UNIQUE,JAMALPUR RLY.,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,JAMUI,2001,10,1,16,8,0,15,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,86,42_District_wise_crimes_committed_against_women_2001_2012.csv::86,False,UNIQUE,JAMUI,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,JEHANABAD,2001,6,5,25,0,0,4,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,87,42_District_wise_crimes_committed_against_women_2001_2012.csv::87,False,UNIQUE,JEHANABAD,DISTRICT_OR_REPORTING_UNIT,VALID
BIHAR,KATIHAR,2001,51,20,6,6,0,29,0,WOMEN,42_District_wise_crimes_committed_against_women_2001_2012.csv,88,42_District_wise_crimes_committed_against_women_2001_2012.csv::88,False,UNIQUE,KATIHAR,DISTRICT_OR_REPORTING_UNIT,VALID
