STATE,DISTRICT,YEAR,Infanticid,Other murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,CRIME_GROUP,SOURCE_FILE,SOURCE_ROW_ID,SOURCE_RECORD_ID,DUPLICATE_KEY_FLAG,DATA_QUALITY_FLAG,UNIT_NAME,UNIT_TYPE,SOURCE_QUALITY_STATUS
Assam,GOALPARA,2013,0,0,26,2,0,0,0,0,0,0,0,0,28,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,65,03_District_wise_crimes_committed_against_children_2013.csv::65,False,UNIQUE,GOALPARA,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,GOLAGHAT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,66,03_District_wise_crimes_committed_against_children_2013.csv::66,False,UNIQUE,GOLAGHAT,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,HAILAKANDI,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,68,03_District_wise_crimes_committed_against_children_2013.csv::68,False,UNIQUE,HAILAKANDI,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,HAMREN,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,69,03_District_wise_crimes_committed_against_children_2013.csv::69,False,UNIQUE,HAMREN,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,JORHAT,2013,0,7,8,0,0,0,0,0,0,0,0,0,15,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,70,03_District_wise_crimes_committed_against_children_2013.csv::70,False,UNIQUE,JORHAT,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,KAMRUP,2013,0,0,2,0,0,0,0,0,0,0,0,1,3,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,71,03_District_wise_crimes_committed_against_children_2013.csv::71,False,UNIQUE,KAMRUP,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,KARBI ANGLONG,2013,0,0,4,0,0,0,0,0,0,0,0,0,4,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,72,03_District_wise_crimes_committed_against_children_2013.csv::72,False,UNIQUE,KARBI ANGLONG,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,KARIMGANJ,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,73,03_District_wise_crimes_committed_against_children_2013.csv::73,False,UNIQUE,KARIMGANJ,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,KOKRAJHAR,2013,0,0,1,7,0,0,0,0,0,0,0,0,8,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,74,03_District_wise_crimes_committed_against_children_2013.csv::74,False,UNIQUE,KOKRAJHAR,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,LAKHIMPUR,2013,0,0,5,0,0,0,0,0,0,0,0,0,5,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,75,03_District_wise_crimes_committed_against_children_2013.csv::75,False,UNIQUE,LAKHIMPUR,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,MORIGAON,2013,0,2,6,10,0,0,0,0,0,0,0,8,26,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,76,03_District_wise_crimes_committed_against_children_2013.csv::76,False,UNIQUE,MORIGAON,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,N.C.HILLS,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,77,03_District_wise_crimes_committed_against_children_2013.csv::77,False,UNIQUE,N.C.HILLS,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,NAGAON,2013,0,0,7,0,0,0,0,0,0,0,0,0,7,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,78,03_District_wise_crimes_committed_against_children_2013.csv::78,False,UNIQUE,NAGAON,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,NALBARI,2013,0,0,6,29,0,0,0,0,0,0,0,1,36,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,79,03_District_wise_crimes_committed_against_children_2013.csv::79,False,UNIQUE,NALBARI,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,R.P.O.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,80,03_District_wise_crimes_committed_against_children_2013.csv::80,False,UNIQUE,R.P.O.,DISTRICT_OR_REPORTING_UNIT,VALID
Assam,SIBSAGAR,2013,0,0,2,4,0,0,0,2,0,0,0,23,31,CHILDREN,03_District_wise_crimes_committed_against_children_2013.csv,81,03_District_wise_crimes_committed_against_children_2013.csv::81,False,UNIQUE,SIBSAGAR,DISTRICT_OR_REPORTING_UNIT,VALID
