feature,q1,q3,iqr,upper_bound,outlier_count,outlier_pct
WOMEN_KIDNAPPING_ABDUCTION_TOTAL,14.0,100.25,86.25,229.625,45,6.18
IPC_OTHER_PLACES_RELATED_TO_WORK,0.0,0.0,0.0,0.0,45,6.17
WOMEN_IN_PLACES_RELATED_TO_WORK,0.0,0.0,0.0,0.0,45,6.18
ST_IPC_OTHER_IPC_CRIMES,0.0,0.0,0.0,0.0,44,6.04
SC_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,0.0,0.0,0.0,0.0,44,6.04
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,0.0,0.0,0.0,0.0,44,6.04
IPC_OTHER_ASSAULT_ON_WOMEN,1.0,89.0,88.0,221.0,42,5.76
WOMEN_OTHERS,1.0,89.25,88.25,221.625,42,5.77
IPC_CRIMINAL_TRESPASS_BURGLARY,29.0,174.0,145.0,391.5,41,5.62
WOMEN_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,0.0,0.0,0.0,0.0,41,5.63
SC_POA_ATTEMPT_TO_COMMIT_RAPE,0.0,0.0,0.0,0.0,41,5.63
IPC_RIOTS_STUDENTS,0.0,0.0,0.0,0.0,41,5.62
WOMEN_KIDNAPPING_FOR_RANSOM,0.0,0.0,0.0,0.0,40,5.49
IPC_CRIMINAL_TRESPASS_OR_BURGLARY,7.0,135.0,128.0,327.0,39,5.35
IPC_OFFENCES_AGAINST_STATE,0.0,0.0,0.0,0.0,39,5.35
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY_TOTAL,16.0,151.0,135.0,353.5,37,5.08
SC_POA_ROBBERY,0.0,0.0,0.0,0.0,37,5.08
IPC_ATTEMPT_TO_ACID_ATTACK,0.0,0.0,0.0,0.0,37,5.08
WOMEN_RAPE_OTHERS,12.0,62.25,50.25,137.625,37,5.08
IPC_RAPE_OTHERS,12.0,62.0,50.0,137.0,37,5.08
ST_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,0.0,0.0,0.0,0.0,36,4.95
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,901.0,4604.0,3703.0,10158.5,36,4.94
SC_IPC_GRIEVOUS_HURT,0.0,0.0,0.0,0.0,36,4.95
SC_IPC_HURT,0.0,0.0,0.0,0.0,36,4.95
WOMEN_RAPE_OTHER_THAN_CUSTODIAL,13.0,67.0,54.0,148.0,35,4.81
IPC_RAPE_OTHER_THAN_CUSTODIAL,13.0,67.0,54.0,148.0,35,4.8
WOMEN_CUSTODIAL_RAPE,0.0,0.0,0.0,0.0,34,4.67
WOMEN_ATTEMPT_TO_ACID_ATTACK,0.0,0.0,0.0,0.0,33,4.53
WOMEN_CUSTODIAL_OTHER_RAPE,0.0,0.0,0.0,0.0,32,4.4
IPC_CUSTODIAL_OTHER_RAPE,0.0,0.0,0.0,0.0,32,4.39
SC_IPC_OTHER_SEXUAL_HARASSMENT,0.0,0.0,0.0,0.0,31,4.26
ST_POA_OTHER_KIDNAPPING,0.0,0.0,0.0,0.0,31,4.26
SC_OTHER_SLL_CRIME_AGAINST_SCS,0.0,0.0,0.0,0.0,31,4.26
SC_IPC_RAPE,0.0,0.0,0.0,0.0,30,4.12
IPC_OTHER_OFFENCES_AGAINST_STATE,0.0,0.0,0.0,0.0,29,3.98
WOMEN_MURDER,2.0,16.0,14.0,37.0,29,3.98
SC_IPC_KIDNAPPING_ABDUCTION,0.0,0.0,0.0,0.0,28,3.85
IPC_RIOTS_INDUSTRIAL,0.0,0.0,0.0,0.0,28,3.84
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,27.0,221.0,194.0,512.0,27,3.7
WOMEN_ITP_UNDER_SECTION_6,0.0,0.0,0.0,0.0,27,3.71
SC_IPC_MURDER,0.0,0.0,0.0,0.0,26,3.57
WOMEN_AT_OFFICE_PREMISES,0.0,0.0,0.0,0.0,25,3.43
IPC_AT_OFFICE_PREMISES,0.0,0.0,0.0,0.0,25,3.43
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,0.0,0.0,0.0,0.0,23,3.16
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,0.0,0.0,0.0,0.0,23,3.16
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,0.0,0.0,0.0,0.0,23,3.16
