column,dtype,missing_count,total_rows,missing_percentage,non_missing_count,unique_values
IPC_ACID_ATTACK,float64,9127,9856,92.6,729,8
IPC_SEXUAL_HARASSMENT,float64,9127,9856,92.6,729,131
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,float64,9127,9856,92.6,729,71
IPC_DEATHS_DUE_TO_OTHER_CAUSES,float64,9127,9856,92.6,729,59
IPC_OFFENCES_AGAINST_STATE,float64,9127,9856,92.6,729,13
IPC_INCIDENCE_OF_RASH_DRIVING,float64,9127,9856,92.6,729,437
IPC_HUMANTRAFFICKING,float64,9127,9856,92.6,729,24
IPC_UNNATURAL_OFFENCE,float64,9127,9856,92.6,729,23
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,float64,9127,9856,92.6,729,686
IPC_HURT,float64,9127,9856,92.6,729,261
IPC_GRIEVOUS_HURT,float64,9127,9856,92.6,729,257
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,float64,9127,9856,92.6,729,324
IPC_RIOTS_SC_STS_VS_NON_SCS_STS,float64,9127,9856,92.6,729,17
IPC_RIOTS_OTHER_CASTE_CONFLICT,float64,9127,9856,92.6,729,26
IPC_RIOTS_AGRARIAN,float64,9127,9856,92.6,729,19
IPC_RIOTS_STUDENTS,float64,9127,9856,92.6,729,14
IPC_RIOTS_SECTARIAN,float64,9127,9856,92.6,729,5
IPC_RIOTS_OTHERS,float64,9127,9856,92.6,729,222
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,float64,9127,9856,92.6,729,3
IPC_EXTORTION,float64,9127,9856,92.6,729,72
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,float64,9127,9856,92.6,729,3
IPC_HOUSE_TRESPASS_HOUSE_BREAKING,float64,9127,9856,92.6,729,145
IPC_COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,float64,9127,9856,92.6,729,6
IPC_COUNTERFEITING,float64,9127,9856,92.6,729,27
IPC_FORGERY,float64,9127,9856,92.6,729,84
IPC_CUSTODIAL_GANG_RAPE,float64,9127,9856,92.6,729,3
IPC_CUSTODIAL_OTHER_RAPE,float64,9127,9856,92.6,729,14
IPC_RAPE_OTHER_THAN_CUSTODIAL,float64,9127,9856,92.6,729,158
IPC_RAPE_GANG_RAPE,float64,9127,9856,92.6,729,33
