column,missing_count,missing_pct,non_missing_count
IPC_COUNTERFEITING,9127,92.6,729
IPC_SEXUAL_HARASSMENT,9127,92.6,729
IPC_OFFENCES_AGAINST_STATE,9127,92.6,729
IPC_TOTAL_COGNIZABLE_IPC_CRIMES,9127,92.6,729
IPC_ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,9127,92.6,729
IPC_HUMANTRAFFICKING,9127,92.6,729
IPC_INCIDENCE_OF_RASH_DRIVING,9127,92.6,729
IPC_DISCLOSURE_OF_IDENTITY_OF_VICTIMS,9127,92.6,729
IPC_EXTORTION,9127,92.6,729
IPC_IMPUTATION_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION,9127,92.6,729
IPC_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,9127,92.6,729
IPC_OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,9127,92.6,729
IPC_OTHER_OFFENCES_AGAINST_STATE,9127,92.6,729
IPC_SEDITION,9127,92.6,729
IPC_UNNATURAL_OFFENCE,9127,92.6,729
IPC_HURT,9127,92.6,729
IPC_PLACES_OTHER_THAN_231_232_233,9127,92.6,729
IPC_DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,9127,92.6,729
IPC_DEATHS_DUE_TO_OTHER_CAUSES,9127,92.6,729
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,9127,92.6,729
IPC_OTHER_PLACES_RELATED_TO_WORK,9127,92.6,729
IPC_AT_OFFICE_PREMISES,9127,92.6,729
IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,9127,92.6,729
IPC_OTHER_ASSAULT_ON_WOMEN,9127,92.6,729
IPC_STALKING,9127,92.6,729
IPC_VOYEURISM,9127,92.6,729
IPC_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,9127,92.6,729
CHILDREN_INFANTICID,9121,92.54,735
CHILDREN_OTHER_MURDER,9121,92.54,735
CHILDREN_MURDER,1737,17.62,8119
SC_MURDER,1003,10.18,8853
SC_RAPE,1003,10.18,8853
SC_KIDNAPPING_AND_ABDUCTION,1003,10.18,8853
SC_DACOITY,1003,10.18,8853
SC_ROBBERY,1003,10.18,8853
SC_HURT,1003,10.18,8853
SC_PREVENTION_OF_ATROCITIES_POA_ACT,1003,10.18,8853
SC_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,1003,10.18,8853
SC_OTHER_CRIMES_AGAINST_SCS,1003,10.18,8853
SC_ARSON,1003,10.18,8853
CHILDREN_RAPE,1002,10.17,8854
CHILDREN_SELLING_OF_GIRLS_FOR_PROSTITUTION,1002,10.17,8854
CHILDREN_FOETICIDE,1002,10.17,8854
CHILDREN_ABETMENT_OF_SUICIDE,1002,10.17,8854
CHILDREN_EXPOSURE_AND_ABANDONMENT,1002,10.17,8854
CHILDREN_PROCURATION_OF_MINOR_GIRLS,1002,10.17,8854
CHILDREN_KIDNAPPING_AND_ABDUCTION,1002,10.17,8854
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,1002,10.17,8854
