column,structural_group,crime_family,is_aggregate,dtype,missing_count,missing_percentage,unique_values
SC_IPC_OTHER_DACOITY,SC,DACOITY_ROBBERY,False,float64,9128,92.61,3
SC_IPC_ROBBERY,SC,DACOITY_ROBBERY,False,float64,9128,92.61,4
SC_IPC_ARSON,SC,ARSON,False,float64,9128,92.61,4
SC_IPC_GRIEVOUS_HURT,SC,HURT_ASSAULT,False,float64,9128,92.61,8
SC_IPC_HURT,SC,HURT_ASSAULT,False,float64,9128,92.61,8
SC_IPC_ACID_ATTACK,SC,OTHER_CRIME,False,float64,9128,92.61,1
SC_IPC_ATTEMPT_TO_ACID_ATTACK,SC,OTHER_CRIME,False,float64,9128,92.61,1
SC_IPC_RIOTS,SC,RIOTS_PUBLIC_ORDER,False,float64,9128,92.61,10
SC_IPC_OTHER_IPC_CRIMES,SC,OTHER_CRIME,True,float64,9128,92.61,46
SC_TOTAL_IPC_CRIMES_AGAINST_SCS,SC,OTHER_CRIME,True,float64,9128,92.61,51
SC_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,SC,OTHER_CRIME,False,float64,9128,92.61,1
SC_OTHER_SLL_CRIME_AGAINST_SCS,SC,OTHER_CRIME,False,float64,9128,92.61,12
SC_TOTAL_CRIMES_AGAINST_SCS,SC,OTHER_CRIME,True,float64,9128,92.61,195
ST_MURDER,ST,MURDER_HOMICIDE,False,float64,968,9.82,23
ST_RAPE,ST,RAPE_SEXUAL_OFFENCES,False,float64,968,9.82,39
ST_KIDNAPPING_ABDUCTION,ST,KIDNAPPING_ABDUCTION,False,float64,968,9.82,14
ST_DACOITY,ST,DACOITY_ROBBERY,False,float64,968,9.82,13
ST_ROBBERY,ST,DACOITY_ROBBERY,False,float64,968,9.82,15
ST_ARSON,ST,ARSON,False,float64,968,9.82,11
ST_HURT,ST,HURT_ASSAULT,False,float64,968,9.82,51
ST_PROTECTION_OF_CIVIL_RIGHTS_PCR_ACT,ST,OTHER_CRIME,False,float64,968,9.82,19
ST_PREVENTION_OF_ATROCITIES_POA_ACT,ST,OTHER_CRIME,False,float64,968,9.82,72
ST_OTHER_CRIMES_AGAINST_STS,ST,OTHER_CRIME,True,float64,968,9.82,99
ST_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,ST,OTHER_CRIME,False,float64,9128,92.61,2
ST_POA_MURDER,ST,MURDER_HOMICIDE,False,float64,9128,92.61,6
ST_POA_ATTEMPT_TO_COMMIT_MURDER,ST,MURDER_HOMICIDE,False,float64,9128,92.61,6
ST_POA_RAPE,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,21
ST_POA_ATTEMPT_TO_COMMIT_RAPE,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,4
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,24
ST_POA_SEXUAL_HARASSMENT,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,11
ST_POA_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,ST,OTHER_CRIME,False,float64,9128,92.61,5
ST_POA_VOYEURISM,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,2
ST_POA_STALKING,ST,RAPE_SEXUAL_OFFENCES,False,float64,9128,92.61,4
