feature,observed_sum,mean,median,non_missing,missing_pct
ST_OTHER_SLL_CRIME_AGAINST_STS,102.0,0.1401098901098901,0.0,728,92.61363636363636
IPC_IN_PUBLIC_TRANSPORT_SYSTEM,101.0,0.13854595336076816,0.0,729,92.60349025974025
WOMEN_IN_PUBLIC_TRANSPORT_SYSTEM,101.0,0.13873626373626374,0.0,728,92.61363636363636
WOMEN_UNNATURAL_OFFENCES,98.0,0.1346153846153846,0.0,728,92.61363636363636
SC_POA_STALKING,95.0,0.1304945054945055,0.0,728,92.61363636363636
ST_IPC_GRIEVOUS_HURT,95.0,0.1304945054945055,0.0,728,92.61363636363636
ST_IPC_HURT,95.0,0.1304945054945055,0.0,728,92.61363636363636
SC_PROTECTION_OF_CIVIL_RIGHTS_ACT_1955,94.0,0.12912087912087913,0.0,728,92.61363636363636
SC_IPC_RIOTS,90.0,0.12362637362637363,0.0,728,92.61363636363636
ST_IPC_MURDER,89.0,0.12225274725274725,0.0,728,92.61363636363636
ST_POA_RIOTS,86.0,0.11813186813186813,0.0,728,92.61363636363636
WOMEN_ITP_UNDER_SECTION_8,84.0,0.11538461538461539,0.0,728,92.61363636363636
SC_POA_ATTEMPT_TO_COMMIT_RAPE,81.0,0.11126373626373626,0.0,728,92.61363636363636
SC_IPC_MURDER,81.0,0.11126373626373626,0.0,728,92.61363636363636
WOMEN_KIDNAPPING_FOR_RANSOM,77.0,0.10576923076923077,0.0,728,92.61363636363636
WOMEN_ITP_UNDER_SECTION_6,75.0,0.10302197802197802,0.0,728,92.61363636363636
IPC_DACOITY_WITH_MURDER,75.0,0.102880658436214,0.0,729,92.60349025974025
WOMEN_ITP_UNDER_SECTION_7,74.0,0.10164835164835165,0.0,728,92.61363636363636
ST_POA_ATTEMPT_TO_COMMIT_MURDER,74.0,0.10164835164835165,0.0,728,92.61363636363636
CHILDREN_INFANTICID,71.0,0.09659863945578231,0.0,735,92.54261363636364
ST_IPC_KIDNAPING_ABDUCTION,69.0,0.09478021978021978,0.0,728,92.61363636363636
SC_IPC_ATTEMPT_TO_COMMIT_MURDER,65.0,0.08928571428571429,0.0,728,92.61363636363636
ST_POA_OTHER_KIDNAPPING,64.0,0.08791208791208792,0.0,728,92.61363636363636
ST_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,61.0,0.08379120879120878,0.0,728,92.61363636363636
SC_POA_ROBBERY,58.0,0.07967032967032966,0.0,728,92.61363636363636
SC_IPC_KIDNAPING_ABDUCTION,52.0,0.07142857142857142,0.0,728,92.61363636363636
ST_IPC_OTHER_KIDNAPPING,49.0,0.0673076923076923,0.0,728,92.61363636363636
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,49.0,0.0673076923076923,0.0,728,92.61363636363636
IPC_ATTEMPT_TO_ACID_ATTACK,49.0,0.06721536351165981,0.0,729,92.60349025974025
WOMEN_AT_OFFICE_PREMISES,48.0,0.06593406593406594,0.0,728,92.61363636363636
IPC_AT_OFFICE_PREMISES,48.0,0.06584362139917696,0.0,729,92.60349025974025
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,46.0,0.06318681318681318,0.0,728,92.61363636363636
IPC_SEDITION,46.0,0.06310013717421124,0.0,729,92.60349025974025
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,46.0,0.06318681318681318,0.0,728,92.61363636363636
SC_IPC_SEXUAL_HARASSMENT,45.0,0.061813186813186816,0.0,728,92.61363636363636
WOMEN_CAUSING_MISCARRIAGE_WITHOUT_CONSENT_OF_WOMEN,45.0,0.061813186813186816,0.0,728,92.61363636363636
ST_IPC_RIOTS,39.0,0.05357142857142857,0.0,728,92.61363636363636
WOMEN_ATTEMPT_TO_ACID_ATTACK,38.0,0.0521978021978022,0.0,728,92.61363636363636
