,count,mean,std,min,1%,25%,50%,75%,95%,99%,max,missing_count,missing_pct
SC_POA_VOYEURISM,728.0,0.016483516483516484,0.1650401051764107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9128,92.61
SC_POA_STALKING,728.0,0.1304945054945055,0.6944494241633443,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,9128,92.61
SC_POA_OTHER_SEXUAL_HARASSMENT,728.0,1.6195054945054945,4.53074519529945,0.0,0.0,0.0,0.0,1.0,10.0,23.730000000000018,40.0,9128,92.61
SC_POA_INSULT_TO_THE_MODESTY_OF_WOMEN,728.0,0.0673076923076923,0.508121013482416,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,9128,92.61
SC_POA_KIDNAPPING_ABDUCTION_GRANDTOTAL,728.0,1.0,2.362010194635035,0.0,0.0,0.0,0.0,1.0,5.649999999999977,11.0,19.0,9128,92.61
SC_POA_KIDNAPING_ABDUCTION_TOTAL,728.0,0.22664835164835165,1.130788955372698,0.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,9128,92.61
SC_POA_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,728.0,0.006868131868131868,0.09788449626414249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9128,92.61
SC_POA_KIDNAPPING_FOR_RANSOM,728.0,0.0013736263736263737,0.03706246583305505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9128,92.61
SC_POA_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,728.0,0.5618131868131868,1.7713983187209115,0.0,0.0,0.0,0.0,0.0,4.0,8.730000000000018,19.0,9128,92.61
SC_POA_OTHER_KIDNAPPING,728.0,0.2032967032967033,0.9083989027908348,0.0,0.0,0.0,0.0,0.0,1.0,4.730000000000018,11.0,9128,92.61
SC_POA_DACOITY,728.0,0.034340659340659344,0.2102644026096468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9128,92.61
SC_POA_DACOITY_WITH_MURDER,728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9128,92.61
SC_POA_OTHER_DACOITY,728.0,0.034340659340659344,0.2102644026096468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9128,92.61
SC_POA_ROBBERY,728.0,0.07967032967032966,0.43152766105388507,0.0,0.0,0.0,0.0,0.0,0.6499999999999773,2.0,7.0,9128,92.61
SC_POA_ARSON,728.0,0.23626373626373626,0.8549255599267152,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,9128,92.61
SC_POA_GRIEVOUS_HURT,728.0,2.875,16.039309731757527,0.0,0.0,0.0,0.0,1.0,12.0,44.30000000000018,347.0,9128,92.61
SC_POA_HURT,728.0,2.868131868131868,16.038697214384932,0.0,0.0,0.0,0.0,1.0,12.0,44.30000000000018,347.0,9128,92.61
SC_POA_ACID_ATTACK,728.0,0.0027472527472527475,0.05237818112192968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9128,92.61
