UNIT_NAME,row_count
Kohima,1
Longleng,1
Mokokchung,1
Mon,1
Peren,1
Phek,1
Tuensang,1
Wokha,1
Zunheboto,1
Angul,1
Balasore,1
Nilgiris,1
Salem,1
Pudukottai,1
Tehri Garhwal,1
Uttarkashi,1
North 24 Parganas,1
South 24 Parganas,1
Alipurduar,1
Asansol-Durgapur PC,1
Bankura,1
Barrackpur PC,1
Bidhannagar PC,1
Birbhum,1
Burdwan,1
Coochbehar,1
Dakshin Dinajpur,1
Darjeeling,1
Hooghly,1
Howrah G. R. P.,1
Howrah PC,1
Jalpaiguri,1
Jhargram Police District,1
Kharagpur G. R. P.,1
