column_name,data_type,missing_count,missing_pct,unique_values
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,float64,9128,92.61,5
ST_IPC_KIDNAPPING_ABDUCTION,float64,9128,92.61,10
ST_IPC_KIDNAPING_ABDUCTION,float64,9128,92.61,7
ST_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,float64,9128,92.61,1
ST_IPC_KIDNAPPING_FOR_RANSOM,float64,9128,92.61,2
ST_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,float64,9128,92.61,7
ST_IPC_OTHER_KIDNAPPING,float64,9128,92.61,4
ST_IPC_DACOITY,float64,9128,92.61,1
ST_IPC_DACOITY_WITH_MURDER,float64,9128,92.61,1
ST_IPC_OTHER_DACOITY,float64,9128,92.61,1
ST_IPC_ROBBERY,float64,9128,92.61,5
ST_IPC_ARSON,float64,9128,92.61,4
ST_IPC_GRIEVOUS_HURT,float64,9128,92.61,8
ST_IPC_HURT,float64,9128,92.61,8
ST_IPC_ACID_ATTACK,float64,9128,92.61,1
ST_IPC_ATTEMPT_TO_ACID_ATTACK,float64,9128,92.61,1
ST_IPC_RIOTS,float64,9128,92.61,6
ST_IPC_OTHER_IPC_CRIMES,float64,9128,92.61,30
ST_TOTAL_IPC_CRIMES_AGAINST_STS,float64,9128,92.61,31
ST_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,float64,9128,92.61,1
ST_OTHER_SLL_CRIME_AGAINST_STS,float64,9128,92.61,9
ST_TOTAL_CRIMES_AGAINST_STS,float64,9128,92.61,79
CHILDREN_MURDER,float64,1737,17.62,42
CHILDREN_RAPE,float64,1002,10.17,109
CHILDREN_KIDNAPPING_AND_ABDUCTION,float64,1002,10.17,227
CHILDREN_FOETICIDE,float64,1002,10.17,19
CHILDREN_ABETMENT_OF_SUICIDE,float64,1002,10.17,14
CHILDREN_EXPOSURE_AND_ABANDONMENT,float64,1002,10.17,37
CHILDREN_PROCURATION_OF_MINOR_GIRLS,float64,1002,10.17,53
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,float64,1002,10.17,15
CHILDREN_SELLING_OF_GIRLS_FOR_PROSTITUTION,float64,1002,10.17,27
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,float64,1002,10.17,16
CHILDREN_OTHER_CRIMES,float64,1002,10.17,194
CHILDREN_TOTAL,float64,992,10.06,358
CHILDREN_INFANTICID,float64,9121,92.54,6
CHILDREN_OTHER_MURDER,float64,9121,92.54,20
WOMEN_RAPE,float64,226,2.29,265
WOMEN_KIDNAPPING_AND_ABDUCTION,float64,954,9.68,331
WOMEN_DOWRY_DEATHS,float64,226,2.29,128
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,float64,954,9.68,399
WOMEN_INSULT_TO_MODESTY_OF_WOMEN,float64,954,9.68,264
