column,structural_group,dtype,missing_percentage,unique_values
ST_IPC_MURDER,ST,float64,92.61,7
ST_IPC_ATTEMPT_TO_COMMIT_MURDER,ST,float64,92.61,6
ST_IPC_RAPE,ST,float64,92.61,10
ST_IPC_ATTEMPT_TO_COMMIT_RAPE,ST,float64,92.61,4
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,ST,float64,92.61,14
ST_IPC_SEXUAL_HARASSMENT,ST,float64,92.61,7
ST_IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,ST,float64,92.61,6
ST_IPC_VOYEURISM,ST,float64,92.61,1
ST_IPC_STALKING,ST,float64,92.61,3
ST_IPC_OTHER_SEXUAL_HARASSMENT,ST,float64,92.61,12
ST_IPC_INSULT_TO_THE_MODESTY_OF_WOMEN,ST,float64,92.61,5
ST_IPC_KIDNAPPING_ABDUCTION,ST,float64,92.61,10
ST_IPC_KIDNAPING_ABDUCTION,ST,float64,92.61,7
ST_IPC_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,ST,float64,92.61,1
ST_IPC_KIDNAPPING_FOR_RANSOM,ST,float64,92.61,2
ST_IPC_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,ST,float64,92.61,7
ST_IPC_OTHER_KIDNAPPING,ST,float64,92.61,4
ST_IPC_DACOITY,ST,float64,92.61,1
ST_IPC_DACOITY_WITH_MURDER,ST,float64,92.61,1
ST_IPC_OTHER_DACOITY,ST,float64,92.61,1
ST_IPC_ROBBERY,ST,float64,92.61,5
ST_IPC_ARSON,ST,float64,92.61,4
ST_IPC_GRIEVOUS_HURT,ST,float64,92.61,8
ST_IPC_HURT,ST,float64,92.61,8
ST_IPC_ACID_ATTACK,ST,float64,92.61,1
ST_IPC_ATTEMPT_TO_ACID_ATTACK,ST,float64,92.61,1
ST_IPC_RIOTS,ST,float64,92.61,6
ST_IPC_OTHER_IPC_CRIMES,ST,float64,92.61,30
ST_TOTAL_IPC_CRIMES_AGAINST_STS,ST,float64,92.61,31
ST_MANUAL_SCAVENGERS_AND_CONSTRUCTION_OF_DRY_LATRINES_P_ACT_1993,ST,float64,92.61,1
ST_OTHER_SLL_CRIME_AGAINST_STS,ST,float64,92.61,9
ST_TOTAL_CRIMES_AGAINST_STS,ST,float64,92.61,79
CHILDREN_MURDER,CHILDREN,float64,17.62,42
CHILDREN_RAPE,CHILDREN,float64,10.17,109
CHILDREN_KIDNAPPING_AND_ABDUCTION,CHILDREN,float64,10.17,227
CHILDREN_FOETICIDE,CHILDREN,float64,10.17,19
CHILDREN_ABETMENT_OF_SUICIDE,CHILDREN,float64,10.17,14
CHILDREN_EXPOSURE_AND_ABANDONMENT,CHILDREN,float64,10.17,37
CHILDREN_PROCURATION_OF_MINOR_GIRLS,CHILDREN,float64,10.17,53
CHILDREN_BUYING_OF_GIRLS_FOR_PROSTITUTION,CHILDREN,float64,10.17,15
CHILDREN_SELLING_OF_GIRLS_FOR_PROSTITUTION,CHILDREN,float64,10.17,27
CHILDREN_PROHIBITION_OF_CHILD_MARRIAGE_ACT,CHILDREN,float64,10.17,16
CHILDREN_OTHER_CRIMES,CHILDREN,float64,10.17,194
CHILDREN_TOTAL,CHILDREN,float64,10.06,358
CHILDREN_INFANTICID,CHILDREN,float64,92.54,6
CHILDREN_OTHER_MURDER,CHILDREN,float64,92.54,20
WOMEN_RAPE,WOMEN,float64,2.29,265
WOMEN_KIDNAPPING_AND_ABDUCTION,WOMEN,float64,9.68,331
WOMEN_DOWRY_DEATHS,WOMEN,float64,2.29,128
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,WOMEN,float64,9.68,399
WOMEN_INSULT_TO_MODESTY_OF_WOMEN,WOMEN,float64,9.68,264
WOMEN_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,WOMEN,float64,2.29,732
WOMEN_IMPORTATION_OF_GIRLS,WOMEN,float64,9.68,24
WOMEN_CUSTODIAL_RAPE,WOMEN,float64,92.61,15
WOMEN_CUSTODIAL_GANG_RAPE,WOMEN,float64,92.61,3
WOMEN_CUSTODIAL_OTHER_RAPE,WOMEN,float64,92.61,14
WOMEN_RAPE_OTHER_THAN_CUSTODIAL,WOMEN,float64,92.61,158
WOMEN_RAPE_GANG_RAPE,WOMEN,float64,92.61,33
WOMEN_RAPE_OTHERS,WOMEN,float64,92.61,156
WOMEN_ATTEMPT_TO_COMMIT_RAPE,WOMEN,float64,92.61,54
WOMEN_KIDNAPPING_ABDUCTION_TOTAL,WOMEN,float64,92.61,227
WOMEN_KIDNAPING_ABDUCTION,WOMEN,float64,92.61,119
WOMEN_KIDNAPING_ABDUCTION_IN_ORDER_TO_MURDER,WOMEN,float64,92.61,9
WOMEN_KIDNAPPING_FOR_RANSOM,WOMEN,float64,92.61,7
WOMEN_KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,WOMEN,float64,92.61,170
WOMEN_KIDNAPING_ABDUCTION_OTHERS,WOMEN,float64,92.61,85
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY_TOTAL,WOMEN,float64,92.61,271
WOMEN_SEXUAL_HARASSMENT,WOMEN,float64,92.61,131
WOMEN_ASSAULT_ON_WOMEN_WITH_INTENT_TO_DISROBE,WOMEN,float64,92.61,71
WOMEN_VOYEURISM,WOMEN,float64,92.61,20
WOMEN_STALKING,WOMEN,float64,92.61,61
WOMEN_OTHERS,WOMEN,float64,92.61,205
WOMEN_INSULT_TO_THE_MODESTY_OF_WOMEN_TOTAL,WOMEN,float64,92.61,71
WOMEN_AT_OFFICE_PREMISES,WOMEN,float64,92.61,6
WOMEN_IN_PLACES_RELATED_TO_WORK,WOMEN,float64,92.61,15
WOMEN_IN_PUBLIC_TRANSPORT_SYSTEM,WOMEN,float64,92.61,7
WOMEN_IN_OTHER_PLACES,WOMEN,float64,92.61,72
WOMEN_IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,WOMEN,float64,92.61,5
WOMEN_MURDER,WOMEN,float64,92.61,57
WOMEN_ATTEMPT_TO_COMMIT_MURDER,WOMEN,float64,92.61,48
WOMEN_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,WOMEN,float64,92.61,11
WOMEN_ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,WOMEN,float64,92.61,16
WOMEN_GRIEVOUS_HURT,WOMEN,float64,92.61,75
WOMEN_HURT,WOMEN,float64,92.61,73
WOMEN_ACID_ATTACK,WOMEN,float64,92.61,6
WOMEN_ATTEMPT_TO_ACID_ATTACK,WOMEN,float64,92.61,3
WOMEN_DEATHS_CAUSED_WITH_INTENT_TO_CAUSE_MISCARRIAGE,WOMEN,float64,92.61,2
WOMEN_CAUSING_MISCARRIAGE_WITHOUT_CONSENT_OF_WOMEN,WOMEN,float64,92.61,8
WOMEN_DACOITY_TOTAL,WOMEN,float64,92.61,12
WOMEN_DACOITY_WITH_MURDER,WOMEN,float64,92.61,2
WOMEN_OTHER_DACOITY,WOMEN,float64,92.61,12
WOMEN_ROBBERY,WOMEN,float64,92.61,71
WOMEN_ARSON,WOMEN,float64,92.61,11
WOMEN_HUMANTRAFFICKING,WOMEN,float64,92.61,17
WOMEN_ABETMENT_OF_SUICIDES_OF_WOMEN,WOMEN,float64,92.61,49
WOMEN_UNNATURAL_OFFENCES,WOMEN,float64,92.61,5
WOMEN_OTHER_IPC_CRIMES,WOMEN,float64,92.61,198
WOMEN_DOWRY_PROHIBITION_ACT_1961,WOMEN,float64,92.61,91
WOMEN_INDECENT_REPRESENTATION_OF_WOMEN_P_ACT_1986,WOMEN,float64,92.61,6
WOMEN_COMMISSION_OF_SATI_PREVENTION_ACT_1987,WOMEN,float64,92.61,1
WOMEN_PROTECTION_OF_WOMEN_FROM_DOMESTIC_VIOLENCE_ACT_2005,WOMEN,float64,92.61,15
WOMEN_IMMORAL_TRAFFIC_PREVENTION_ACT,WOMEN,float64,92.61,29
WOMEN_ITP_UNDER_SECTION_5,WOMEN,float64,92.61,17
WOMEN_ITP_UNDER_SECTION_6,WOMEN,float64,92.61,7
WOMEN_ITP_UNDER_SECTION_7,WOMEN,float64,92.61,9
WOMEN_ITP_UNDER_SECTION_8,WOMEN,float64,92.61,8
WOMEN_ITP_UNDER_OTHER_SECTIONS,WOMEN,float64,92.61,22
WOMEN_OTHER_SLL_CRIMES_AGAINST_WOMEN,WOMEN,float64,92.61,90
WOMEN_TOTAL_CRIMES_AGAINST_WOMEN,WOMEN,float64,92.61,516
IPC_AVAILABLE,AVAILABILITY_FLAG,bool,0.0,2
SC_AVAILABLE,AVAILABILITY_FLAG,bool,0.0,2
ST_AVAILABLE,AVAILABILITY_FLAG,bool,0.0,2
CHILDREN_AVAILABLE,AVAILABILITY_FLAG,bool,0.0,2
WOMEN_AVAILABLE,AVAILABILITY_FLAG,bool,0.0,2
IPC_ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,IPC,float64,2.28,432
IPC_AUTO_THEFT,IPC,float64,2.28,1015
IPC_CAUSING_DEATH_BY_NEGLIGENCE,IPC,float64,2.28,696
IPC_CRIMINAL_BREACH_OF_TRUST,IPC,float64,2.28,276
IPC_CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IPC,float64,2.28,732
IPC_CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,IPC,float64,2.28,95
IPC_CUSTODIAL_RAPE,IPC,float64,2.28,16
IPC_DOWRY_DEATHS,IPC,float64,2.28,128
IPC_KIDNAPPING_ABDUCTION,IPC,float64,2.28,413
IPC_OTHER_IPC_CRIMES,IPC,float64,2.28,3072
