dataset_a,dataset_b,family_a,family_b,shared_dimensions,shared_dimension_count
01_District_wise_crimes_committed_IPC_2013.csv,27_Nature_of_complaints_received_by_police.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,28_Trial_of_violent_crimes_by_courts.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2013.csv,29_Period_of_trials_by_courts.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2013.csv,30_Auto_theft.csv,DISTRICT_WISE_CRIME,PROPERTY_CRIME,year,1
01_District_wise_crimes_committed_IPC_2013.csv,31_Serious_fraud.csv,DISTRICT_WISE_CRIME,PROPERTY_CRIME,year,1
01_District_wise_crimes_committed_IPC_2013.csv,32_Murder_victim_age_sex.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2013.csv,33_CH_not_murder_victim_age_sex.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2013.csv,34_Use_of_fire_arms_in_murder_cases.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2013.csv,35_Human_rights_violation_by_police.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,36_Police_housing.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,37_Home_guards_and_auxilliary_force.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,38_Unidentified_dead_bodies_recovered_and_inquest_conducted.csv,DISTRICT_WISE_CRIME,OTHER_SPECIALIZED,year,1
01_District_wise_crimes_committed_IPC_2013.csv,39_Specific_purpose_of_kidnapping_and_abduction.csv,DISTRICT_WISE_CRIME,VICTIM_OFFENDER_CHARACTERISTICS,year,1
01_District_wise_crimes_committed_IPC_2013.csv,40_01_Custodial_death_person_remanded.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2013.csv,40_02_Custodial_death_person_not_remanded.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2013.csv,40_03_Custodial_death_during_production.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2013.csv,40_04_Custodial_death_during_hospitalization_or_treatment.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2013.csv,40_05_Custodial_death_others.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2013.csv,41_Escapes_from_police_custody.csv,DISTRICT_WISE_CRIME,POLICE_ADMINISTRATION,year,1
01_District_wise_crimes_committed_IPC_2013.csv,42_Cases_under_crime_against_women.csv,DISTRICT_WISE_CRIME,JUSTICE_COURT,year,1
01_District_wise_crimes_committed_IPC_2013.csv,42_District_wise_crimes_committed_against_women_2001_2012.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2013.csv,42_District_wise_crimes_committed_against_women_2013.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2013.csv,42_District_wise_crimes_committed_against_women_2014.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2013.csv,43_Arrests_under_crime_against_women.csv,DISTRICT_WISE_CRIME,ARREST_DISPOSAL,year,1
01_District_wise_crimes_committed_IPC_2014.csv,02_01_District_wise_crimes_committed_against_SC_2001_2012.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2014.csv,02_01_District_wise_crimes_committed_against_SC_2013.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2014.csv,02_01_District_wise_crimes_committed_against_SC_2014.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2014.csv,02_District_wise_crimes_committed_against_ST_2001_2012.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2014.csv,02_District_wise_crimes_committed_against_ST_2013.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2014.csv,02_District_wise_crimes_committed_against_ST_2014.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2014.csv,03_District_wise_crimes_committed_against_children_2001_2012.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
01_District_wise_crimes_committed_IPC_2014.csv,03_District_wise_crimes_committed_against_children_2013.csv,DISTRICT_WISE_CRIME,DISTRICT_WISE_CRIME,"year, state, district",3
